character,code
，,","
火,","
米,","
炎,",,"
焱,",,,"
燚,",,,,"
灬,",,,,i"
㡀,",,,,i"
㷋,",,,i"
䊏,",,,i"
歘,",,,k"
㲭,",,,q"
燊,",,,v"
爃,",,,v"
飊,",,,x"
顃,",,am"
剡,",,e"
煔,",,e;"
敥,",,eb"
㷥,",,ga"
炏,",,i"
鶯,",,j,"
熒,",,j,"
螢,",,j/"
營,",,j;"
勞,",,jb"
䎕,",,jbi"
滎,",,jc"
禜,",,jc"
罃,",,jd"
嵤,",,jdi"
犖,",,jf"
煢,",,jf"
䃕,",,jg"
瑩,",,jh"
煢,",,jh"
甇,",,jh"
鎣,",,ji"
䝁,",,jii"
䁝,",,jj"
欻,",,jk"
憥,",,jn"
醟,",,jp"
㽦,",,jpi"
䪯,",,jpi"
塋,",,jr"
覢,",,js"
覮,",,js"
焭,",,jsi"
膋,",,ju"
榮,",,jv"
檾,",,jvi"
嫈,",,jw"
縈,",,jx"
褮,",,jx"
謍,",,jy"
煢,",,jz"
鶑,",,l,"
㲜,",,lq"
䢯,",,mn"
燐,",,mq"
㷠,",,mqi"
㥕,",,n"
烾,",,r"
㷀,",,sf"
㷀,",,sh"
㷀,",,sz"
郯,",,t"
顲,",,ym"
敝,",."
敉,",."
蟞,",./"
爝,",./h"
烙,",.;"
蹩,",.;c"
鄨,",.;s"
煖,",.ab"
烆,",.ad"
斃,",.aq"
粄,",.b"
炍,",.bi"
糌,",.cp"
糉,",.d."
㷔,",.dp"
弊,",.f"
烽,",.f"
熢,",.fn"
烰,",.gf"
粰,",.gfi"
炵,",.h"
糭,",.h."
鐅,",.i"
炇,",.i"
瞥,",.j"
燰,",.j."
龞,",.j.i"
龞,",.ja"
鼈,",.ja"
幣,",.jd"
鼈,",.jq"
龞,",.js"
鼈,",.js"
龞,",.jt"
鼈,",.jt"
糌,",.kp"
䨆,",.ky"
鷩,",.l,"
龞,",.l."
龞,",.lt"
憋,",.n"
熖,",.o"
撆,",.o"
熎,",.od"
暼,",.p"
彆,",.tg"
鱉,",.u,"
鳖,",.ua"
䊛,",.vb"
嫳,",.w"
䌘,",.x"
烯,",.zd"
獘,",.zh"
釋,",/"
爞,",///"
䊫,",/ee"
烛,",/i"
燭,",/l/"
糫,",/qx"
燡,",/rf"
糬,",/rh"
糬,",/rp"
熅,",/u"
嗚,",;"
焒,",;;"
煰,",;;;"
燀,",;;f"
燥,",;;v"
㶽,",;jk"
炽,",;k"
焒,",;l;"
熉,",;m"
炾,",;s"
焆,",;u"
煤,",a"
烼,",a."
粞,",a/"
熛,",a/c"
燂,",a/f"
